Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Lau, E.Y.Y., Lau, K.N.T., Chan, C.S., Tseng, C.-H., Lam, Y.C., Tse, D.M.-S., Cheng, W.Y., Chung, K.-F., Wing, Y.K.","36448882600; 56643818400; 25645984800; 7402541752; 57208222293; 57211033863; 57211028086; 57202126716; 57209053797","Effects of REM sleep during a daytime nap on emotional perception in individuals with and without depression",2020,"Journal of Affective Disorders",260,"",,687,694,,,10.1016/j.jad.2019.09.058,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072313415&partnerID=40&md5=de9b7a1c81caea613104476a7d47b655",Article,Final,,Scopus,2-s2.0-85072313415
"Birner, A., Bengesser, S.A., Seiler, S., Dalkner, N., Queissner, R., Platzer, M., Fellendorf, F.T., Hamm, C., Maget, A., Pilz, R., Lenger, M., Reininghaus, B., Pirpamer, L., Ropele, S., Hinteregger, N., Magyar, M., Deutschmann, H., Enzinger, C., Kapfhammer, H.-P., Reininghaus, E.Z.","55452662900; 57204783166; 56906710800; 57193446940; 56857576700; 56373625900; 56374347700; 57193453277; 57193446114; 57193446648; 57211063866; 23095531900; 56011166800; 6701753695; 57195411006; 36895102300; 6701790000; 6602781849; 7006085681; 57205383412","Total gray matter volume is reduced in individuals with bipolar disorder currently treated with atypical antipsychotics",2020,"Journal of Affective Disorders",260,"",,722,727,,,10.1016/j.jad.2019.09.068,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072533188&partnerID=40&md5=a8876ae22d96d3309830a18fcaffba12",Article,Final,,Scopus,2-s2.0-85072533188
"Liu, J., Dong, Q., Lu, X., Sun, J., Zhang, L., Wang, M., Liu, B., Ju, Y., Wan, P., Guo, H., Zhao, F., Zhang, X., Zhang, Y., Li, L.","57038194200; 57203886137; 57203890243; 57210843650; 57210843584; 55660284800; 56537144600; 57203189144; 57210845207; 57206166078; 57203888224; 57207768243; 55739941700; 57188948931","Influence of comorbid anxiety symptoms on cognitive deficits in patients with major depressive disorder",2020,"Journal of Affective Disorders",260,"",,91,96,,,10.1016/j.jad.2019.08.091,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071688624&partnerID=40&md5=f755f35e054bb4dad2359634d1078122",Article,Final,,Scopus,2-s2.0-85071688624
"Zhang, W., Zhu, C.","57192225395; 55565278200","Blended learning as a good practice in ESL courses compared to F2F learning and online learning",2020,"International Journal of Mobile and Blended Learning",12,"1",,64,81,,,10.4018/IJMBL.2020010105,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073147743&partnerID=40&md5=1577177ecec2a75677c81aacd09a84a4",Article,Final,,Scopus,2-s2.0-85073147743
"Mangalathu, S., Hwang, S.-H., Choi, E., Jeon, J.-S.","55446241800; 57211446119; 10042814900; 55365726100","Rapid seismic damage evaluation of bridge portfolios using machine learning techniques",2019,"Engineering Structures",201,"", 109785,,,,,10.1016/j.engstruct.2019.109785,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073927339&partnerID=40&md5=a894c3c5707ce79182febb9936308dba",Article,Final,,Scopus,2-s2.0-85073927339
"Zimmermann, G., Pauly, M., Bathke, A.C.","57143766400; 36018916300; 8419828600","Small-sample performance and underlying assumptions of a bootstrap-based inference method for a general analysis of covariance model with possibly heteroskedastic and nonnormal errors",2019,"Statistical Methods in Medical Research",28,"12",,3808,3821,,1,10.1177/0962280218817796,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060440146&partnerID=40&md5=e26155e7f309320493c73f78336fdf07",Article,Final,,Scopus,2-s2.0-85060440146
"Iyegha, I.D., Chieh, A.Y., Bryant, B.M., Li, L.","57211018401; 57203280357; 57211021986; 56710711400","Associations between poor sleep and glucose intolerance in prediabetes",2019,"Psychoneuroendocrinology",110,"", 104444,,,,,10.1016/j.psyneuen.2019.104444,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072271320&partnerID=40&md5=98eae7185e9562f1fb4157ab03799318",Article,Final,,Scopus,2-s2.0-85072271320
"Pereira, J.A., de Souza, K.K., Pereira, S.M., Ruschel, C., Hubert, M., Michaelsen, S.M.","57211364488; 57211364774; 35105799700; 35090355100; 36173894500; 6603557464","The kinematics of paretic lower limb in aquatic gait with equipment in people with post-stroke hemiparesis",2019,"Clinical Biomechanics",70,"",,16,22,,,10.1016/j.clinbiomech.2019.07.024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073654338&partnerID=40&md5=46f122cef5ec3920443c54906493532d",Article,Final,,Scopus,2-s2.0-85073654338
"Ding, M., Babenko, O., Koppula, S., Oswald, A., White, J.","57207305272; 56146567100; 7003851791; 12765750100; 7405245048","Physicians as Teachers and Lifelong Learners",2019,"Journal of Continuing Education in the Health Professions",39,"1",,2,6,,2,10.1097/CEH.0000000000000228,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062395821&partnerID=40&md5=02ef4a37ea97f92ba2263933e2e08333",Article,Final,,Scopus,2-s2.0-85062395821
"Barros, L.F., Ribeiro, R.V., Dias, M.S., Moralles, M., Semmler, R., Yamazaki, I.M., Koskinas, M.F.","55953851800; 57195694302; 57210554207; 6603163510; 6602475298; 7103229276; 6602142744","Determination of k<inf>0</inf> and Q<inf>0</inf> for <sup>74</sup>Se, <sup>113</sup>In, <sup>186</sup>W and <sup>191</sup>Ir targets applying covariance analysis",2019,"Applied Radiation and Isotopes",154,"", 108846,,,,,10.1016/j.apradiso.2019.108846,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070926627&partnerID=40&md5=9714468ce255d56684435dee12e47fe2",Article,Final,,Scopus,2-s2.0-85070926627
"Cejudo, J., López-Delgado, M.L., Losada, L.","57117979700; 57189002690; 57191982485","Effectiveness of the videogame “Spock” for the improvement of the emotional intelligence on psychosocial adjustment in adolescents",2019,"Computers in Human Behavior",101,"",,380,386,,1,10.1016/j.chb.2018.09.028,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072151418&partnerID=40&md5=dbc7c9b8c541cc0f3d7a64528bb82319",Article,Final,,Scopus,2-s2.0-85072151418
"Bharathi, G., Venugopal, A., Vellingiri, B.","57207717255; 57201392597; 36158939200","Music therapy as a therapeutic tool in improving the social skills of autistic children",2019,"Egyptian Journal of Neurology, Psychiatry and Neurosurgery",55,"1", 44,,,,,10.1186/s41983-019-0091-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067954464&partnerID=40&md5=fa741a04c70f8349de53904063322b12",Article,Final,Open Access,Scopus,2-s2.0-85067954464
"Baumeister, D., Eich, W., Saft, S., Geisel, O., Hellweg, R., Finn, A., Svensson, C.I., Tesarz, J.","56178261100; 7003914059; 6507439042; 55324315000; 7003287342; 7102196229; 7202512757; 47962476500","No evidence for altered plasma NGF and BDNF levels in fibromyalgia patients",2019,"Scientific Reports",9,"1", 13667,,,,,10.1038/s41598-019-49403-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072513245&partnerID=40&md5=2dcc7482718c575c2e412b16ae870dbc",Article,Final,Open Access,Scopus,2-s2.0-85072513245
"Göllner, N., Winkler, J., Göllner, P., Gkantidis, N.","57193789675; 57193790671; 24400945000; 24766166000","Effect of mandibular first molar mesialization on alveolar bone height: a split mouth study",2019,"Progress in Orthodontics",20,"1", 22,,,,,10.1186/s40510-019-0275-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067078669&partnerID=40&md5=9d54dc1c194e521c47d14d55f9ce9d99",Article,Final,Open Access,Scopus,2-s2.0-85067078669
"Au, D., Matthew, A.G., Lopez, P., Hilton, W.J., Awasthi, R., Bousquet-Dion, G., Ladha, K., Carli, F., Santa Mina, D.","56590318200; 6701791709; 57211203105; 56590464800; 56430694000; 57190401817; 37052538300; 7005607093; 18438168900","Prehabilitation and acute postoperative physical activity in patients undergoing radical prostatectomy: a secondary analysis from an RCT",2019,"Sports Medicine - Open",5,"1", 18,,,,,10.1186/s40798-019-0191-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072956455&partnerID=40&md5=64ecc6a0d162c85263a3ece9fc8ac4c6",Article,Final,Open Access,Scopus,2-s2.0-85072956455
"Moseley, B.D., Otoul, C., Staelens, L., Stockis, A.","36639726800; 6508302025; 57188622962; 6701591662","Pharmacokinetic interaction of brivaracetam on other antiepileptic drugs in adults with focal seizures: Pooled analysis of data from randomized clinical trials",2019,"Epilepsy Research",158,"", 106218,,,,,10.1016/j.eplepsyres.2019.106218,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074035055&partnerID=40&md5=d1029bef805cd6f3319d09fd63014f19",Article,Final,,Scopus,2-s2.0-85074035055
"Chowdhury, C.R., Khijmatgar, S., Chowdhury, A., Harding, S., Lynch, E., Gootveld, M.","55585991400; 57195309054; 57191876090; 57191882158; 7101800703; 57203002526","Dental anxiety in first- and final-year Indian dental students",2019,"BDJ Open",5,"1", 15,,,,,10.1038/s41405-019-0017-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073633996&partnerID=40&md5=480d3c0119791673f460eaf0b15dbc17",Article,Final,Open Access,Scopus,2-s2.0-85073633996
"Yoo, H.N., Smetana, J.G.","57202078839; 35578722300","Children's moral judgments about psychological harm: Links among harm salience, victims’ vulnerability, and child sympathy",2019,"Journal of Experimental Child Psychology",188,"", 104655,,,,,10.1016/j.jecp.2019.06.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070705593&partnerID=40&md5=1e467ed23b4741784066394b3269759f",Article,Final,,Scopus,2-s2.0-85070705593
"Kim, S.-J., Kim, M.J., Yoon, S.G., Myong, J.P., Yu, H.W., Chai, Y.J., Choi, J.Y., Lee, K.E.","57189704131; 35201315500; 57193558764; 54783064000; 56680335500; 55967131900; 50461383200; 35201079600","Impact of smoking on thyroid gland: dose-related effect of urinary cotinine levels on thyroid function and thyroid autoimmunity",2019,"Scientific Reports",9,"1", 4213,,,,,10.1038/s41598-019-40708-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062874095&partnerID=40&md5=f0a082cf14a34e0ae836b79c841a979b",Article,Final,Open Access,Scopus,2-s2.0-85062874095
"Avigliano, E., Monferrán, M.V., Sánchez, S., Wunderlin, D.A., Gastaminza, J., Volpedo, A.V.","55785855100; 8728949800; 7202745736; 6602972327; 57202776083; 6506541513","Distribution and bioaccumulation of 12 trace elements in water, sediment and tissues of the main fishery from different environments of the La Plata basin (South America): Risk assessment for human consumption",2019,"Chemosphere",236,"", 124394,,,,,10.1016/j.chemosphere.2019.124394,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069679205&partnerID=40&md5=df5e48919886480aafd63f7f53b4a9b2",Article,Final,,Scopus,2-s2.0-85069679205
"Dai, M., Zhang, Z., Srivastava, A.","57193026295; 56068905700; 7403492989","Discovering common change-point patterns in functional connectivity across subjects",2019,"Medical Image Analysis",58,"", 101532,,,,,10.1016/j.media.2019.101532,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069627622&partnerID=40&md5=fe49a820d70ebfd2cd0d67a3e1e1e487",Article,Final,,Scopus,2-s2.0-85069627622
"Shim, Y.S.","57192383562","The Relationship Between Tri-ponderal Mass Index and Metabolic Syndrome and Its Components in Youth Aged 10–20 Years",2019,"Scientific Reports",9,"1", 14462,,,,,10.1038/s41598-019-50987-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073059729&partnerID=40&md5=18915a89e5acd2bdcef8b98ba99cf054",Article,Final,Open Access,Scopus,2-s2.0-85073059729
"Lass, J.H., Benetz, B.A., He, J., Hamilton, C., Von Tress, M., Dickerson, J., Lane, S.","7007033940; 57195996697; 57210931065; 57210934223; 6508320372; 7103186011; 7202106949","Corneal Endothelial Cell Loss and Morphometric Changes 5 Years after Phacoemulsification with or without CyPass Micro-Stent",2019,"American Journal of Ophthalmology",208,"",,211,218,,1,10.1016/j.ajo.2019.07.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071902471&partnerID=40&md5=b15814095feb4078075953f900ea3676",Article,Final,,Scopus,2-s2.0-85071902471
"Cappagli, G., Finocchietti, S., Cocchi, E., Giammari, G., Zumiani, R., Cuppone, A.V., Baud-Bovy, G., Gori, M.","55908481600; 36135330800; 36720328200; 6506351295; 57207202442; 56940664200; 7801423819; 23491803400","Audio motor training improves mobility and spatial cognition in visually impaired children",2019,"Scientific Reports",9,"1", 3303,,,,1,10.1038/s41598-019-39981-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062273877&partnerID=40&md5=8f13275525dd4a9aeedf91207b0fd3ff",Article,Final,Open Access,Scopus,2-s2.0-85062273877
"Burrows, N., Ward, B., Wills, A., Williams, M., Cranfield, R.","7007123935; 14122727400; 7102460830; 37065625100; 6603985602","Fine-scale temporal turnover of jarrah forest understory vegetation assemblages is independent of fire regime",2019,"Fire Ecology",15,"1", 10,,,,,10.1186/s42408-019-0025-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072068688&partnerID=40&md5=92776149f39454bd49d3176482644b07",Article,Final,Open Access,Scopus,2-s2.0-85072068688
"Wu, D., Lv, P., Li, F., Zhang, W., Fu, G., Dai, J., Hu, N., Liu, J., Xiao, Y., Li, S., Shah, C., Tao, B., Zhao, Y., Gong, Q., Lui, S.","57208799280; 56998279800; 57203791096; 55958045900; 57208802583; 57195529653; 57211011286; 56883922400; 55907481400; 57196099892; 57191658019; 57191675922; 56072449500; 55817409800; 23978614700","Association of peripheral cytokine levels with cerebral structural abnormalities in schizophrenia",2019,"Brain Research",1724,"", 146463,,,,,10.1016/j.brainres.2019.146463,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072263195&partnerID=40&md5=e827eda2f9407f2c56fc30f6d474e1cf",Article,Final,,Scopus,2-s2.0-85072263195
"Kravchenko, A.N., Guber, A.K., Razavi, B.S., Koestel, J., Quigley, M.Y., Robertson, G.P., Kuzyakov, Y.","7202732142; 7004066892; 56644334000; 26027032700; 57190622488; 7402368664; 55549790500","Microbial spatial footprint as a driver of soil carbon stabilization",2019,"Nature Communications",10,"1", 3121,,,,1,10.1038/s41467-019-11057-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069444446&partnerID=40&md5=1e55304e240630b36145ddf61ef29953",Article,Final,Open Access,Scopus,2-s2.0-85069444446
"Tangen, C.M., Schenk, J., Till, C., Goodman, P.J., Barrington, W., Lucia, M.S., Thompson, I.M.","7003733464; 8892632300; 26425342600; 7102668993; 55509198100; 26642980400; 7201697703","Variations in prostate biopsy recommendation and acceptance confound evaluation of risk factors for prostate cancer: Examining race and BMI",2019,"Cancer Epidemiology",63,"", 101619,,,,,10.1016/j.canep.2019.101619,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073415707&partnerID=40&md5=e70816998175afb19f1e698d9ec7a3da",Article,Final,,Scopus,2-s2.0-85073415707
"Markopoulos, P.P., Tsagkarakis, N., Pados, D.A., Karystinos, G.N.","55595946400; 55315078900; 7003836627; 6602898084","Realified L1-PCA for direction-of-arrival estimation: theory and algorithms",2019,"Eurasip Journal on Advances in Signal Processing",2019,"1", 30,,,,,10.1186/s13634-019-0625-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067985554&partnerID=40&md5=2f4e58eacead1101f86b74a090552e25",Article,Final,Open Access,Scopus,2-s2.0-85067985554
"Petursdottir Maack, H., Skalkidou, A., Sjöholm, A., Eurenius-Orre, K., Mulic-Lutvica, A., Wikström, A.-K., Sundström Poromaa, I.","57208344688; 6603566560; 57208341772; 57208342478; 56026494300; 12761379400; 6602333740","Maternal body mass index moderates antenatal depression effects on infant birthweight",2019,"Scientific Reports",9,"1", 6213,,,,,10.1038/s41598-019-42360-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064544562&partnerID=40&md5=ce5d1c795b72a3c087c6ef683597b104",Article,Final,Open Access,Scopus,2-s2.0-85064544562
"Khan, A., Khan, S., Shah, S.T.","57210914660; 57210919447; 44961500700","Efficacy of eye movement desensitization &amp; reprocessing versus cognitive behavioral therapy in Post-Traumatic Stress and Depressive Symptoms: Study protocol for a Randomized Controlled Trial",2019,"Contemporary Clinical Trials Communications",16,"", 100439,,,,,10.1016/j.conctc.2019.100439,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071846296&partnerID=40&md5=911fe62c6ee81d4ac5a0813be7b0ec65",Article,Final,Open Access,Scopus,2-s2.0-85071846296
"Zhou, Y., Wu, K., Shen, H., Zhang, J., Deng, H.-W., Zhao, L.-J.","57189519901; 56203958100; 57209879333; 8898006900; 57210005626; 57210749499","Geographical differences in osteoporosis, obesity, and sarcopenia related traits in white American cohorts",2019,"Scientific Reports",9,"1", 12311,,,,,10.1038/s41598-019-48734-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071369236&partnerID=40&md5=cc93a2f51c83eeb3db372c263d1f1943",Article,Final,Open Access,Scopus,2-s2.0-85071369236
"Rambod, M., Pasyar, N., Shamsadini, M.","36665155000; 55853872400; 57211393786","The effect of foot reflexology on fatigue, pain, and sleep quality in lymphoma patients: A clinical trial",2019,"European Journal of Oncology Nursing",43,"", 101678,,,,,10.1016/j.ejon.2019.101678,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073731863&partnerID=40&md5=882ce647e0b3eec42279560e1bd46d83",Article,Final,,Scopus,2-s2.0-85073731863
"El Hajj, C., Fares, S., Chardigny, J.M., Boirie, Y., Walrand, S.","57203412132; 56223949900; 7006716280; 7004118989; 55169342900","Vitamin D supplementation and muscle strength in pre-sarcopenic elderly Lebanese people: a randomized controlled trial",2019,"Archives of Osteoporosis",14,"1", 4,,,,1,10.1007/s11657-018-0553-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058879289&partnerID=40&md5=7f182ee0ed46cb6cf58bcffe7d698b3a",Article,Final,,Scopus,2-s2.0-85058879289
"Kagiya, N., Reinsch, T., Taube, F., Salminen, J.-P., Kluß, C., Hasler, M., Malisch, C.S.","57211168145; 57188825651; 6701481675; 7005037225; 35113317300; 23568227600; 56983092500","Turnover rates of roots vary considerably across temperate forage species",2019,"Soil Biology and Biochemistry",139,"", 107614,,,,,10.1016/j.soilbio.2019.107614,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072865889&partnerID=40&md5=c731a2893901ce03903c26d02f66fd3d",Article,Final,,Scopus,2-s2.0-85072865889
"Murali, R., Suryawanshi, K., Redpath, S., Nagendra, H., Mishra, C.","57191195981; 35316393700; 57211120374; 7004289210; 57203095244","Changing use of ecosystem services along a rural-urban continuum in the Indian Trans-Himalayas",2019,"Ecosystem Services",40,"", 101030,,,,,10.1016/j.ecoser.2019.101030,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072714196&partnerID=40&md5=5306e7cdb90e5c262fdb52781d53f835",Article,Final,,Scopus,2-s2.0-85072714196
"Cherup, N.P., Buskard, A.N.L., Strand, K.L., Roberson, K.B., Michiels, E.R., Kuhn, J.E., Lopez, F.A., Signorile, J.F.","57201364740; 57193549605; 57209300505; 57194424371; 57211449193; 57211447396; 57211446626; 6603446482","Power vs strength training to improve muscular strength, power, balance and functional movement in individuals diagnosed with Parkinson's disease",2019,"Experimental Gerontology",128,"", 110740,,,,,10.1016/j.exger.2019.110740,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073932074&partnerID=40&md5=781aa5a70d25b3566ea56940a0a9c23f",Article,Final,,Scopus,2-s2.0-85073932074
"Stauch, A., Vuichard, P.","57211012793; 57211013037","Community solar as an innovative business model for building-integrated photovoltaics: An experimental analysis with Swiss electricity consumers",2019,"Energy and Buildings",204,"", 109526,,,,,10.1016/j.enbuild.2019.109526,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073550665&partnerID=40&md5=ed3c87901abf82143871c1591290b5b4",Article,Final,,Scopus,2-s2.0-85073550665
"Moritz, S., Andresen, B., Sengutta, M.","7005488974; 7103309299; 57190411792","The specificity of schizotypal scales and some implications for clinical high-risk research",2019,"Personality and Individual Differences",151,"", 109450,,,,1,10.1016/j.paid.2019.05.056,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069547325&partnerID=40&md5=6b275d9d73fb5735f08e4d0eadd9d539",Article,Final,,Scopus,2-s2.0-85069547325
"García-Alba, J., Ramírez-Toraño, F., Esteba-Castillo, S., Bruña, R., Moldenhauer, F., Novell, R., Romero-Medina, V., Maestú, F., Fernández, A.","37099841500; 57210918588; 6508160800; 36812833000; 57073539900; 57191582830; 57210910171; 6507284679; 7403494585","Neuropsychological and neurophysiological characterization of mild cognitive impairment and Alzheimer's disease in Down syndrome",2019,"Neurobiology of Aging",84,"",,70,79,,,10.1016/j.neurobiolaging.2019.07.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071839900&partnerID=40&md5=5caffd17f360e65acc5f41bda759db12",Article,Final,,Scopus,2-s2.0-85071839900
"Li, J., Zhang, Q., Chen, Z., Xu, D., Wang, Y.","55879549200; 57188650335; 57210451238; 57210441483; 55978208400","A network-based pathway-extending approach using DNA methylation and gene expression data to identify altered pathways",2019,"Scientific Reports",9,"1", 11853,,,,,10.1038/s41598-019-48372-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070737920&partnerID=40&md5=e01a03ca54ac992120a268923e9a7ea4",Article,Final,Open Access,Scopus,2-s2.0-85070737920
"van Bijnen, S., Kärkkäinen, S., Helenius, P., Parviainen, T.","57204609825; 56021103800; 55882562800; 8524530600","Left hemisphere enhancement of auditory activation in language impaired children",2019,"Scientific Reports",9,"1", 9087,,,,1,10.1038/s41598-019-45597-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067873473&partnerID=40&md5=0db1df9cfd7c12c17bc0c52dced78e29",Article,Final,Open Access,Scopus,2-s2.0-85067873473
"Bright, M., Espada-Hinojosa, S., Volland, J.-M., Drexel, J., Kesting, J., Kolar, I., Morchner, D., Nussbaumer, A., Ott, J., Scharhauser, F., Schuster, L., Zambalos, H.C., Nemeschkal, H.L.","7005055304; 56145865500; 36018844700; 57211367174; 57211366254; 57090488600; 57211366301; 6602876011; 7202757674; 57211366239; 57191570473; 57200605126; 6508138361","Thiotrophic bacterial symbiont induces polyphenism in giant ciliate host Zoothamnium niveum",2019,"Scientific Reports",9,"1", 15081,,,,,10.1038/s41598-019-51511-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073656736&partnerID=40&md5=1e34fbe485fe92a927b9d9f3d604b357",Article,Final,Open Access,Scopus,2-s2.0-85073656736
